algorithm,error,error_type,phase,repetition,timestamp_epoch
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,46,1777405359.2582567
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,47,1777405363.7190328
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,47,1777405367.1336145
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,48,1777405371.3334231
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,48,1777405376.7314858
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,49,1777405379.2052038
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,49,1777405389.6699233
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,50,1777405393.062133
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,50,1777405401.0157475
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,51,1777405406.9536293
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,51,1777405409.8379278
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,52,1777405412.8910744
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,53,1777405425.0198402
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,54,1777405438.332032
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,54,1777405441.5343888
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,55,1777405444.8710966
bae,"'Replay requested k=33, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,55,1777405447.0875392
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,56,1777405450.4412277
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,56,1777405454.615478
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,57,1777405457.8926055
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,57,1777405463.2336047
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,58,1777405466.2248688
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,58,1777405472.6910758
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,59,1777405475.7674155
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,59,1777405482.8464513
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,60,1777405485.630816
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,60,1777405488.6290293
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,61,1777405493.8189726
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,62,1777405504.4642577
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,62,1777405510.0011714
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,63,1777405513.0691638
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,63,1777405515.112464
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,64,1777405519.5062466
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,64,1777405521.4792895
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,65,1777405523.4912627
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,66,1777405535.5748534
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,66,1777405538.7995305
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,67,1777405541.5419352
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,67,1777405544.7227445
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,68,1777405547.7352545
bae,"'Replay requested k=26, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,68,1777405551.0233505
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,69,1777405553.6461694
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,70,1777405565.1491942
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,70,1777405571.38982
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,71,1777405576.6634252
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,71,1777405581.4842315
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,72,1777405584.320651
bae,"'Replay requested k=28, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,72,1777405587.717563
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,73,1777405590.0451179
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,73,1777405594.836889
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,74,1777405597.861458
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,74,1777405605.6233065
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,75,1777405608.4663196
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,75,1777405616.3049881
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,76,1777405619.1292713
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,77,1777405631.7871513
bae,"'Replay requested k=32, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,77,1777405638.1449275
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,78,1777405641.030664
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,79,1777405653.3204606
bae,"'Replay requested k=26, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,79,1777405655.6742506
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,80,1777405658.7773101
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,81,1777405678.097429
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,81,1777405681.999927
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,82,1777405684.300378
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,82,1777405686.7955432
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,83,1777405689.8991323
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,83,1777405696.9504943
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,84,1777405700.2104774
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,85,1777405713.5930035
bae,"'Replay requested k=26, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,85,1777405717.498941
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,86,1777405719.3582768
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,86,1777405723.2343063
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,87,1777405726.3902764
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,87,1777405736.7355647
biqae,'The job was not completed successfully.',AlgorithmError,hardware_replay,88,1777405739.301044
bae,"'Replay requested k=27, but no premeasured hardware probability exists for that Grover power. Available k values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25].'",KeyError,hardware_replay,88,1777405747.912871
