candidate,k,correctness_passed,logical_depth,logical_size,logical_twoq_total,logical_multiq_total,logical_ops,transpiled_depth,transpiled_size,transpiled_twoq_total,cz_count,rzz_count,cx_count,ecr_count,swap_count,transpiled_ops,initial_layout,active_physical_qubits,optimization_level,seed_transpiler,backend,target_summary,depth_per_grover_step,twoq_per_grover_step,relative_contrast_budget,t_eff_candidate,p_ideal,p_obs
custom_full,0,True,63,109,59,0,"{""crx"": 12, ""cry"": 12, ""crz"": 10, ""rx"": 22, ""ry"": 4, ""rz"": 24, ""rzz"": 19, ""swap"": 6}",295,564,108,108,0,0,0,0,"{""cz"": 108, ""rz"": 192, ""sx"": 237, ""x"": 27}","[67, 68, 66, 57, 69, 65, 77, 89, 78]","[57, 65, 66, 67, 68, 69, 77, 78, 89]",3,1234,ibm_basquecountry,"{""backend_class"": ""IBMBackend"", ""backend_name"": ""ibm_basquecountry"", ""basis_gates"": [""cz"", ""measure"", ""sx"", ""rz"", ""x"", ""id"", ""delay"", ""reset"", ""if_else""]}",0.0,0.0,nan,nan,0.1328730942948926,nan
custom_full,1,True,64,110,59,1,"{""Q_custom_full"": 1, ""crx"": 12, ""cry"": 12, ""crz"": 10, ""rx"": 22, ""ry"": 4, ""rz"": 24, ""rzz"": 19, ""swap"": 6}",2593,4614,1116,1116,0,0,0,0,"{""cz"": 1116, ""rz"": 1171, ""sx"": 2259, ""x"": 68}","[66, 65, 67, 57, 64, 77, 47, 68, 69]","[47, 57, 64, 65, 66, 67, 68, 69, 77]",3,1234,ibm_basquecountry,"{""backend_class"": ""IBMBackend"", ""backend_name"": ""ibm_basquecountry"", ""basis_gates"": [""cz"", ""measure"", ""sx"", ""rz"", ""x"", ""id"", ""delay"", ""reset"", ""if_else""]}",2298.0,1008.0,0.000992063492063492,nan,0.8096661708551893,nan
custom_full,2,True,65,111,59,2,"{""Q_custom_full"": 2, ""crx"": 12, ""cry"": 12, ""crz"": 10, ""rx"": 22, ""ry"": 4, ""rz"": 24, ""rzz"": 19, ""swap"": 6}",4959,8643,2128,2128,0,0,0,0,"{""cz"": 2128, ""rz"": 2129, ""sx"": 4275, ""x"": 111}","[44, 45, 43, 42, 46, 37, 56, 41, 63]","[37, 41, 42, 43, 44, 45, 46, 56, 63]",3,1234,ibm_basquecountry,"{""backend_class"": ""IBMBackend"", ""backend_name"": ""ibm_basquecountry"", ""basis_gates"": [""cz"", ""measure"", ""sx"", ""rz"", ""x"", ""id"", ""delay"", ""reset"", ""if_else""]}",2332.0,1010.0,0.0009900990099009901,nan,0.9155941944245891,nan
custom_full,3,True,66,112,59,3,"{""Q_custom_full"": 3, ""crx"": 12, ""cry"": 12, ""crz"": 10, ""rx"": 22, ""ry"": 4, ""rz"": 24, ""rzz"": 19, ""swap"": 6}",7457,12812,3161,3161,0,0,0,0,"{""cz"": 3161, ""rz"": 3142, ""sx"": 6358, ""x"": 151}","[44, 45, 43, 46, 37, 56, 42, 63, 41]","[37, 41, 42, 43, 44, 45, 46, 56, 63]",3,1234,ibm_basquecountry,"{""backend_class"": ""IBMBackend"", ""backend_name"": ""ibm_basquecountry"", ""basis_gates"": [""cz"", ""measure"", ""sx"", ""rz"", ""x"", ""id"", ""delay"", ""reset"", ""if_else""]}",2387.3333333333335,1017.6666666666666,0.000982640026203734,nan,0.2553804041571535,nan
custom_full,4,True,67,113,59,4,"{""Q_custom_full"": 4, ""crx"": 12, ""cry"": 12, ""crz"": 10, ""rx"": 22, ""ry"": 4, ""rz"": 24, ""rzz"": 19, ""swap"": 6}",9820,16971,4204,4204,0,0,0,0,"{""cz"": 4204, ""rz"": 4135, ""sx"": 8437, ""x"": 195}","[44, 45, 43, 37, 46, 56, 42, 63, 41]","[37, 41, 42, 43, 44, 45, 46, 56, 63]",3,1234,ibm_basquecountry,"{""backend_class"": ""IBMBackend"", ""backend_name"": ""ibm_basquecountry"", ""basis_gates"": [""cz"", ""measure"", ""sx"", ""rz"", ""x"", ""id"", ""delay"", ""reset"", ""if_else""]}",2381.25,1024.0,0.0009765625,nan,0.04611925801544977,nan
custom_full_flat,0,True,63,109,59,0,"{""crx"": 12, ""cry"": 12, ""crz"": 10, ""rx"": 22, ""ry"": 4, ""rz"": 24, ""rzz"": 19, ""swap"": 6}",295,564,108,108,0,0,0,0,"{""cz"": 108, ""rz"": 192, ""sx"": 237, ""x"": 27}","[67, 68, 66, 57, 69, 65, 77, 89, 78]","[57, 65, 66, 67, 68, 69, 77, 78, 89]",3,1234,ibm_basquecountry,"{""backend_class"": ""IBMBackend"", ""backend_name"": ""ibm_basquecountry"", ""basis_gates"": [""cz"", ""measure"", ""sx"", ""rz"", ""x"", ""id"", ""delay"", ""reset"", ""if_else""]}",0.0,0.0,nan,nan,0.1328730942948926,nan
custom_full_flat,1,True,195,351,177,2,"{""ccx"": 1, ""crx"": 36, ""cry"": 36, ""crz"": 30, ""h"": 4, ""mcx"": 1, ""rx"": 66, ""ry"": 12, ""rz"": 72, ""rzz"": 57, ""swap"": 18, ""x"": 18}",2593,4614,1116,1116,0,0,0,0,"{""cz"": 1116, ""rz"": 1171, ""sx"": 2259, ""x"": 68}","[66, 65, 67, 57, 64, 77, 47, 68, 69]","[47, 57, 64, 65, 66, 67, 68, 69, 77]",3,1234,ibm_basquecountry,"{""backend_class"": ""IBMBackend"", ""backend_name"": ""ibm_basquecountry"", ""basis_gates"": [""cz"", ""measure"", ""sx"", ""rz"", ""x"", ""id"", ""delay"", ""reset"", ""if_else""]}",2298.0,1008.0,0.000992063492063492,nan,0.8096661708551893,nan
custom_full_flat,2,True,327,593,295,4,"{""ccx"": 2, ""crx"": 60, ""cry"": 60, ""crz"": 50, ""h"": 8, ""mcx"": 2, ""rx"": 110, ""ry"": 20, ""rz"": 120, ""rzz"": 95, ""swap"": 30, ""x"": 36}",4959,8643,2128,2128,0,0,0,0,"{""cz"": 2128, ""rz"": 2129, ""sx"": 4275, ""x"": 111}","[44, 45, 43, 42, 46, 37, 56, 41, 63]","[37, 41, 42, 43, 44, 45, 46, 56, 63]",3,1234,ibm_basquecountry,"{""backend_class"": ""IBMBackend"", ""backend_name"": ""ibm_basquecountry"", ""basis_gates"": [""cz"", ""measure"", ""sx"", ""rz"", ""x"", ""id"", ""delay"", ""reset"", ""if_else""]}",2332.0,1010.0,0.0009900990099009901,nan,0.9155941944245891,nan
custom_full_flat,3,True,459,835,413,6,"{""ccx"": 3, ""crx"": 84, ""cry"": 84, ""crz"": 70, ""h"": 12, ""mcx"": 3, ""rx"": 154, ""ry"": 28, ""rz"": 168, ""rzz"": 133, ""swap"": 42, ""x"": 54}",7457,12812,3161,3161,0,0,0,0,"{""cz"": 3161, ""rz"": 3142, ""sx"": 6358, ""x"": 151}","[44, 45, 43, 46, 37, 56, 42, 63, 41]","[37, 41, 42, 43, 44, 45, 46, 56, 63]",3,1234,ibm_basquecountry,"{""backend_class"": ""IBMBackend"", ""backend_name"": ""ibm_basquecountry"", ""basis_gates"": [""cz"", ""measure"", ""sx"", ""rz"", ""x"", ""id"", ""delay"", ""reset"", ""if_else""]}",2387.3333333333335,1017.6666666666666,0.000982640026203734,nan,0.2553804041571535,nan
custom_full_flat,4,True,591,1077,531,8,"{""ccx"": 4, ""crx"": 108, ""cry"": 108, ""crz"": 90, ""h"": 16, ""mcx"": 4, ""rx"": 198, ""ry"": 36, ""rz"": 216, ""rzz"": 171, ""swap"": 54, ""x"": 72}",9820,16971,4204,4204,0,0,0,0,"{""cz"": 4204, ""rz"": 4135, ""sx"": 8437, ""x"": 195}","[44, 45, 43, 37, 46, 56, 42, 63, 41]","[37, 41, 42, 43, 44, 45, 46, 56, 63]",3,1234,ibm_basquecountry,"{""backend_class"": ""IBMBackend"", ""backend_name"": ""ibm_basquecountry"", ""basis_gates"": [""cz"", ""measure"", ""sx"", ""rz"", ""x"", ""id"", ""delay"", ""reset"", ""if_else""]}",2381.25,1024.0,0.0009765625,nan,0.04611925801544977,nan
